age_head,DSI,EIC,FLPDYR,f2441,f6251,MARS,XTOT,e00200,e00300,e00400,e00600,e00700,e00800,e00900,e01200,e01700,e01400,e02000,e02100,e02300,e02400,e03150,e03300,e03400,e03500,e03270,e07300,e07400,e07600,e09700,e09800,e09900,e11200,e17500,e18500,e19200,e20100,e19800,e20500,e20400,e27200,e26270,e32800,MIDR,n24,e00650,e01100,e03210,e03220,e03230,e03240,e03290,e07240,e07260,p08000,e18400,p22250,p23250,e24515,e24518,p25470,e58990,e62900,e87530,RECID,s006,p87521,age_spouse,e00200p,e00900p,e02100p,filer
99,0,0,1991,0,1,2,2,48990,21710,0,0,0,0,-1352000,0,0,0,-6325000,-16630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864700,0,0,-2251613.365,-479913.338,0,-2664357.824,-1849029.776,-2178031.249,-63317.904,-2560593.563,-653155.104,-1882059.504,-429083.115,-898636.939,-1868807.964,-2918771.913,-2486630.243,-936991.954,-2104700.79,-958823.27,-2835685.147,-1195571.343,-16986.032,-2242426.049,-2372427.586,0,0,48990,-1352000,-16630,21
99,0,0,1991,0,1,2,2,179100,116900,4061,8543,0,0,0,0,0,0,-11550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2179145.965,-464467.493,0,-2578606.386,-1789519.39,-2107932.064,-61280.04,-2478181.742,-632133.532,-1821486.068,-415273.223,-869714.619,-1808661.024,-2824832.244,-2406598.905,-906835.191,-2036961.72,-927963.874,-2744419.598,-1157092.291,-16439.343,-2170254.339,-2296071.822,0,0,179100,0,0,22
99,0,0,1991,0,1,1,1,93260,0,0,0,1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2078130.801,-442936.92,0,-2459074.078,-1706565.518,-2010218.048,-58439.379,-2363304.657,-602830.735,-1737050.368,-396023.07,-829398.657,-1724819.835,-2693886.04,-2295040.071,-864798.491,-1942537.562,-884947.745,-2617200.953,-1103454.825,-15677.291,-2069651.35,-2189636.514,0,0,93260,0,0,23
99,0,0,1991,0,1,2,3,404800,9558000,0,82430,5138,0,0,0,0,42940,-4448000,0,0,0,0,0,0,0,0,0,0,0,0,0,4294,0,0,0,0,0,0,0,0,4104000,0,0,-2012983.34,-429051.261,0,-2381984.401,-1653066.282,-1947199.589,-56607.359,-2289217.262,-583932.554,-1682595.46,-383608.117,-803397.783,-1670748.343,-2609435.227,-2223092.707,-837687.865,-1881640.823,-857205.459,-2535154.146,-1068862.547,-15185.822,-2004769.712,-2120993.453,0,0,404800,0,0,24
99,0,0,1991,0,1,2,2,439800,565900,75180,41800,0,0,33110,0,0,0,-4232000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1980775.607,-422186.441,0,-2343872.65,-1626617.222,-1916044.396,-55701.642,-2252589.786,-574589.633,-1655673.933,-377470.387,-790543.419,-1644016.369,-2567684.264,-2187523.224,-824284.859,-1851534.57,-843490.172,-2494591.68,-1051760.746,-14942.849,-1972693.397,-2087057.558,0,0,439800,33110,0,25
99,0,0,1991,0,1,2,2,0,1049000,0,46,0,0,0,0,0,0,-25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25930,0,0,-1953691.831,-416413.751,0,-2311824.133,-1604375.966,-1889845.71,-54940.015,-2221789.408,-566733.086,-1633035.376,-372309.114,-779734.067,-1621537.21,-2532575.499,-2157612.522,-813014.15,-1826217.948,-831956.862,-2460482.333,-1037379.686,-14738.531,-1945720.132,-2058520.555,0,0,0,0,0,26
99,0,0,1991,0,0,2,2,271000,371600,10370,285700,0,0,0,0,0,0,-26470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69640,0,0,-1870244.521,-398627.626,0,-2213080.052,-1535848.855,-1809125.436,-52593.383,-2126890.947,-542526.428,-1563284.146,-356406.814,-746429.577,-1552277.097,-2424402.548,-2065455.224,-778288.18,-1748215.383,-796421.799,-2355388.67,-993070.475,-14109.009,-1862613.314,-1970595.736,0,0,271000,0,0,27
99,0,0,1991,0,1,2,2,834800,1423000,0,426700,0,0,2356000,0,0,0,-9258000,122900,0,0,0,0,0,0,0,0,0,0,0,0,0,10250,0,0,0,0,0,0,0,25150,0,0,-1835108.812,-391138.732,0,-2171503.597,-1506995.334,-1775137.953,-51605.327,-2086933.7,-532334.15,-1533915.207,-349711.109,-732406.634,-1523114.944,-2378856.042,-2026652.152,-763666.719,-1715372.197,-781459.668,-2311138.707,-974413.965,-13843.948,-1827620.97,-1933574.759,0,0,834800,2356000,122900,28
99,0,0,1991,0,1,2,2,10840,21630,55660,1900,0,0,0,0,0,0,-37760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,0,0,-1813880.988,-386614.191,0,-2146384.489,-1489562.999,-1754603.848,-51008.377,-2062792.864,-526176.316,-1516171.473,-345665.787,-723934.439,-1505496.143,-2351338.361,-2003208.629,-754832.92,-1695529.44,-772420.047,-2284404.354,-963142.324,-13683.806,-1806479.762,-1911207.919,0,0,10840,0,0,29
99,0,0,1991,0,1,2,5,392800,2801000,0,1153000,0,0,0,0,0,0,-4824000,-197800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10970,0,0,-1775085.309,-378345.203,0,-2100477.154,-1457703.903,-1717076.001,-49917.399,-2018673.404,-514922.343,-1483743.27,-338272.612,-708450.773,-1473296.266,-2301047.428,-1960363.569,-738688.39,-1659265.089,-755899.36,-2235545.02,-942542.427,-13391.134,-1767842.382,-1870330.591,0,0,392800,0,-197800,30
